American; |əˈmerɪkən|;американский, американец, американка
belief; |bɪˈliːf|;вера, убеждение, мнение, верование, доверие
believe; |bɪˈliːv|;верить, полагать, думать, веровать, доверять, придавать большое значение
bell; |bel|;колокол, звонок, колокольчик, колпак, мычать, кричать
belong; |bɪˈlɔːŋ|;принадлежать, относиться, находиться, происходить, быть связанным, быть родом из
below; |bɪˈloʊ|;ниже, внизу, в дальнейшем, ниже, под
belt; |belt|;пояс, ремень, приводной ремень, зона, подпоясывать, гнать, опоясывать
bench; |bentʃ|;скамейка, скамья, верстак, станок, судьи, суд, демонстрировать на выставке
bend; |bend|;изгиб, излучина, колено, сгиб, отвод, узел, сгибаться, сгибать, изгибаться, изгибать
beneath; |bɪˈniːθ|;под, ниже, ниже, внизу
benefit; |ˈbenɪfɪt|;пособие, выгода, польза, прибыль, бенефис, приносить пользу, извлекать, помогать
